POINT_ID,BARANGAY_NAME,X,Y,YEAR,FLOOD_RECURRENT
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2015,0
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2016,0
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2017,0
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2018,0
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2019,0
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2020,1
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2021,0
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2022,0
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2023,0
Balaba_38,Balaba,557991.3108021623,1472323.6554989682,2024,1
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2010,0
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2011,0
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2012,0
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2013,0
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2014,0
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2015,0
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2016,0
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2017,0
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2018,0
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2019,0
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2020,1
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2021,0
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2022,0
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2023,0
Balaba_39,Balaba,558685.2159179398,1472748.77225335,2024,1
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2010,0
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2011,0
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2012,0
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2013,0
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2014,0
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2015,0
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2016,0
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2017,0
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2018,0
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2019,0
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2020,1
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2021,0
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2022,0
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2023,0
Balaba_40,Balaba,559685.1788292349,1472941.6176570489,2024,1
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2010,0
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2011,0
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2012,0
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2013,0
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2014,0
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2015,0
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2016,0
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2017,0
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2018,0
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2019,0
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2020,1
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2021,0
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2022,0
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2023,0
Balaba_41,Balaba,559257.0299660533,1473058.1891473343,2024,1
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2010,0
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2011,0
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2012,0
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2013,0
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2014,0
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2015,0
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2016,0
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2017,0
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2018,0
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2019,0
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2020,1
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2021,0
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2022,0
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2023,0
Balaba_42,Balaba,558451.937346114,1472961.4474345194,2024,1
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2010,0
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2011,0
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2012,0
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2013,0
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2014,0
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2015,0
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2016,0
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2017,0
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2018,0
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2019,0
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2020,1
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2021,0
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2022,0
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2023,0
Balaba_43,Balaba,558458.8284133779,1472746.2240107253,2024,1
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2010,0
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2011,0
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2012,0
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2013,0
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2014,0
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2015,0
Balaba_44,Balaba,559668.0395602158,1473077.865384382,2016,0
